Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,frequency_score,repeat_buyer_flag,subscription_flag,satisfaction_flag,promo_dependency_score,discount_sensitivity_segment,avg_spend_per_visit,spending_velocity_score,customer_lifetime_value_score,customer_lifetime_value_proxy,value_tier,value_tier_numeric,normalized_frequency_score,customer_engagement_score,low_frequency_risk,retention_risk_score,loyalty_score_v1,normalized_clv,loyalty_score_v2,normalized_spending_velocity,normalized_avg_spend,normalized_retention_risk,loyalty_segment,cluster,customer_segment,promo_revenue
19,52,male,sweater,clothing,48,montana,s,black,summer,4.6,yes,free shipping,yes,yes,17,cash,weekly,7,1,1,1,1.0,highly promo sensitive,2.6666666666666665,336,6048,6048,high,3,1.0,1.0,0.0,0.4,0.75,0.169713459739818,0.5423408873795245,0.4647058823529412,0.0463166300658814,0.4000000000000001,Loyal,1,High-Value Promo Dependent,48
20,66,male,pants,clothing,90,rhode island,m,green,summer,3.3,yes,standard,yes,yes,46,debit card,bi-weekly,6,1,1,0,1.0,highly promo sensitive,1.9148936170212767,540,25380,25380,premium,4,0.8333333333333334,0.7416666666666667,0.1666666666666666,0.65,0.49375,0.717626052206445,0.7049436280761773,0.7647058823529411,0.0310080153595867,0.6500000000000001,Loyal,1,High-Value Promo Dependent,90
21,21,male,pants,clothing,51,louisiana,m,black,winter,2.8,yes,express,yes,yes,50,cash,every 3 months,2,1,1,0,1.0,highly promo sensitive,1.0,102,5202,5202,high,3,0.1666666666666666,0.5083333333333333,0.8333333333333334,0.8500000000000001,0.26875,0.1457359068106453,0.299291881109216,0.1205882352941176,0.0123777201038131,0.8500000000000002,Growth,2,At-Risk Promo Customers,51
22,31,male,pants,clothing,62,north carolina,m,charcoal,winter,4.1,yes,store pickup,yes,yes,22,debit card,quarterly,3,1,1,1,1.0,highly promo sensitive,2.6956521739130435,186,4278,4278,medium,2,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.1195476575121163,0.4039985428743387,0.2441176470588235,0.0469068719782652,0.6000000000000002,Growth,1,High-Value Promo Dependent,62
23,56,male,pants,clothing,37,california,m,peach,summer,3.2,yes,store pickup,yes,yes,32,debit card,annually,1,1,1,0,1.0,highly promo sensitive,1.121212121212121,37,1221,1221,low,1,0.0,0.4499999999999999,1.0,0.8999999999999999,0.2125,0.0329053651900348,0.2215168778165122,0.025,0.0148460044646908,0.9,Growth,2,At-Risk Promo Customers,37
24,31,male,pants,clothing,88,oklahoma,xl,white,winter,4.4,yes,express,yes,yes,40,credit card,weekly,7,1,1,1,1.0,highly promo sensitive,2.1463414634146343,616,25256,25256,premium,4,1.0,1.0,0.0,0.4,0.75,0.7141116118243913,0.8152331817855957,0.8764705882352941,0.035721067931382,0.4000000000000001,Loyal,1,High-Value Promo Dependent,88
25,18,male,jacket,outerwear,22,florida,m,green,fall,2.9,yes,store pickup,yes,yes,16,debit card,weekly,7,1,1,0,1.0,highly promo sensitive,1.2941176470588236,154,2618,2618,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.0724995040104299,0.3847865911095328,0.1970588235294117,0.018366939508884,0.6000000000000002,Growth,1,High-Value Promo Dependent,22
26,18,male,hoodie,clothing,25,texas,m,silver,summer,3.6,yes,express,yes,yes,14,paypal,annually,1,1,1,0,1.0,highly promo sensitive,1.6666666666666667,25,375,375,low,1,0.0,0.4499999999999999,1.0,0.8999999999999999,0.2125,0.0089278122608621,0.2095953225265958,0.0073529411764705,0.0259532840886404,0.9,At-Risk,2,At-Risk Promo Customers,25
27,38,male,jewelry,accessories,20,nevada,m,red,spring,3.6,yes,next day air,yes,yes,13,credit card,annually,1,1,1,0,1.0,highly promo sensitive,1.4285714285714286,20,280,280,low,1,0.0,0.4499999999999999,1.0,0.8999999999999999,0.2125,0.0062352974520307,0.2071823541082107,0.0,0.0211048683797735,0.9,At-Risk,2,At-Risk Promo Customers,20
28,56,male,shorts,clothing,56,kentucky,l,cyan,summer,5.0,yes,next day air,yes,yes,7,bank transfer,every 3 months,2,1,1,1,1.0,highly promo sensitive,7.0,112,896,896,low,1,0.1666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.0236941303177167,0.3295184358072793,0.1352941176470588,0.1345577959672589,0.6500000000000001,Growth,2,At-Risk Promo Customers,56
29,54,male,handbag,accessories,94,north carolina,m,gray,fall,4.4,yes,free shipping,yes,yes,41,paypal,every 3 months,2,1,1,1,1.0,highly promo sensitive,2.238095238095238,188,7896,7896,high,3,0.1666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.2220899583368761,0.4213099167904557,0.2470588235294117,0.037589481789921,0.6500000000000001,Loyal,2,At-Risk Promo Customers,94
30,31,male,dress,clothing,48,wyoming,s,black,fall,4.1,yes,store pickup,yes,yes,14,credit card,weekly,7,1,1,1,1.0,highly promo sensitive,3.2,336,5040,5040,high,3,1.0,1.0,0.0,0.4,0.75,0.1411444605050591,0.5323417376473589,0.4647058823529412,0.0571770812537432,0.4000000000000001,Loyal,1,High-Value Promo Dependent,48
31,57,male,jewelry,accessories,31,north carolina,l,black,winter,4.7,yes,standard,yes,yes,16,credit card,monthly,4,1,1,1,1.0,highly promo sensitive,1.8235294117647056,124,2108,2108,medium,2,0.5,0.8250000000000001,0.5,0.55,0.58125,0.0580449508261769,0.3834039680832796,0.1529411764705882,0.0291475344380115,0.5500000000000002,Growth,1,High-Value Promo Dependent,31
32,33,male,dress,clothing,79,west virginia,l,brown,winter,4.7,yes,store pickup,yes,yes,45,venmo,monthly,4,1,1,1,1.0,highly promo sensitive,1.7173913043478262,316,14536,14536,premium,4,0.5,0.8250000000000001,0.5,0.55,0.58125,0.4102825723436216,0.5631577238496793,0.4352941176470588,0.026986207435312,0.5500000000000002,Loyal,1,High-Value Promo Dependent,79
33,36,male,jacket,outerwear,67,kansas,m,silver,summer,4.9,yes,free shipping,yes,yes,37,venmo,annually,1,1,1,1,1.0,highly promo sensitive,1.763157894736842,67,2546,2546,medium,2,0.0,0.65,1.0,0.7,0.4125,0.0704588612079471,0.3134841308345462,0.0691176470588235,0.0279181683496022,0.7000000000000001,Growth,2,At-Risk Promo Customers,67
34,54,male,pants,clothing,38,colorado,l,green,summer,3.3,yes,store pickup,yes,yes,45,cash,quarterly,3,1,1,0,1.0,highly promo sensitive,0.8260869565217391,114,5244,5244,high,3,0.3333333333333333,0.5666666666666667,0.6666666666666667,0.8,0.3249999999999999,0.1469262817787603,0.3224045907794288,0.138235294117647,0.0088362686295103,0.8000000000000002,Growth,2,At-Risk Promo Customers,38
35,36,male,t-shirt,clothing,91,north dakota,l,violet,spring,4.6,yes,2-day shipping,yes,yes,38,paypal,quarterly,3,1,1,1,1.0,highly promo sensitive,2.333333333333333,273,10647,10647,premium,4,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.3000595187484057,0.4927659296011576,0.3720588235294118,0.0395288480734677,0.6000000000000002,Loyal,1,High-Value Promo Dependent,91
36,54,male,blouse,clothing,33,massachusetts,m,cyan,summer,4.0,yes,2-day shipping,yes,yes,48,credit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,0.673469387755102,198,9702,9702,premium,4,0.8333333333333334,0.9416666666666668,0.1666666666666666,0.45,0.69375,0.2732760819658192,0.5188329031978407,0.2617647058823529,0.0057284642745099,0.45,Loyal,1,High-Value Promo Dependent,33
37,35,male,t-shirt,clothing,69,illinois,m,maroon,winter,4.6,yes,free shipping,yes,yes,44,paypal,fortnightly,5,1,1,1,1.0,highly promo sensitive,1.5333333333333334,345,15525,15525,premium,4,0.6666666666666666,0.8833333333333334,0.3333333333333333,0.5,0.6375,0.4383130686166142,0.6006644759765993,0.4779411764705882,0.0232381712916749,0.5000000000000001,Loyal,1,High-Value Promo Dependent,69
38,35,male,jeans,clothing,45,indiana,s,cyan,summer,2.8,yes,store pickup,yes,yes,10,paypal,weekly,7,1,1,0,1.0,highly promo sensitive,4.090909090909091,315,3465,3465,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.0965053992007482,0.4405415956026147,0.4338235294117647,0.0753189713061943,0.6000000000000002,Loyal,1,High-Value Promo Dependent,45
39,29,male,dress,clothing,37,florida,m,red,winter,3.8,yes,2-day shipping,yes,yes,44,venmo,every 3 months,2,1,1,0,1.0,highly promo sensitive,0.8222222222222222,74,3330,3330,medium,2,0.1666666666666666,0.5083333333333333,0.8333333333333334,0.8500000000000001,0.26875,0.092679193946093,0.2724867374889756,0.0794117647058823,0.0087575697078591,0.8500000000000002,Growth,2,At-Risk Promo Customers,37
40,70,male,pants,clothing,60,arizona,s,turquoise,summer,4.2,yes,express,yes,yes,18,credit card,monthly,4,1,1,1,1.0,highly promo sensitive,3.1578947368421053,240,4560,4560,high,3,0.5,0.8250000000000001,0.5,0.55,0.58125,0.1275401751551738,0.441844943657252,0.3235294117647059,0.0563196772125962,0.5500000000000002,Loyal,1,High-Value Promo Dependent,60
41,69,male,handbag,accessories,76,louisiana,l,beige,winter,4.6,yes,next day air,yes,yes,31,debit card,quarterly,3,1,1,1,1.0,highly promo sensitive,2.375,228,7296,7296,high,3,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.2050846016495196,0.4462894144989004,0.3058823529411765,0.0403773208225194,0.6000000000000002,Loyal,1,High-Value Promo Dependent,76
42,67,male,scarf,accessories,39,alaska,m,orange,spring,4.5,yes,standard,yes,yes,40,venmo,annually,1,1,1,1,1.0,highly promo sensitive,0.951219512195122,39,1599,1599,low,1,0.0,0.65,1.0,0.7,0.4125,0.0436187399030694,0.2958547942601919,0.0279411764705882,0.0113843861537038,0.7000000000000001,Growth,2,At-Risk Promo Customers,39
43,20,male,coat,outerwear,100,tennessee,m,beige,spring,4.1,yes,free shipping,yes,yes,15,paypal,annually,1,1,1,1,1.0,highly promo sensitive,6.25,100,1600,1600,low,1,0.0,0.65,1.0,0.7,0.4125,0.043647082164215,0.3138058905221811,0.1176470588235294,0.1192852864843281,0.7000000000000001,Growth,2,At-Risk Promo Customers,100
44,25,male,scarf,accessories,69,ohio,l,lavender,fall,3.7,yes,store pickup,yes,yes,19,paypal,fortnightly,5,1,1,0,1.0,highly promo sensitive,3.45,345,6900,6900,high,3,0.6666666666666666,0.6833333333333333,0.3333333333333333,0.7,0.4375,0.1938610662358643,0.4451062751433369,0.4779411764705882,0.0622679177480535,0.7000000000000001,Loyal,1,High-Value Promo Dependent,69
45,39,male,hat,accessories,53,kentucky,s,silver,summer,4.6,yes,free shipping,yes,yes,45,paypal,weekly,7,1,1,1,1.0,highly promo sensitive,1.1521739130434785,371,17066,17066,premium,4,1.0,1.0,0.0,0.4,0.75,0.4819884930419749,0.6619312666823383,0.5161764705882353,0.015476490143828,0.4000000000000001,Loyal,1,High-Value Promo Dependent,53
46,50,male,socks,clothing,21,tennessee,xl,indigo,fall,2.9,yes,2-day shipping,yes,yes,25,paypal,annually,1,1,1,0,1.0,highly promo sensitive,0.8076923076923077,21,546,546,low,1,0.0,0.4499999999999999,1.0,0.8999999999999999,0.2125,0.0137743389167587,0.2101151362679243,0.0014705882352941,0.0084616920312667,0.9,At-Risk,2,At-Risk Promo Customers,21
47,57,male,shirt,clothing,43,california,l,white,summer,2.9,yes,store pickup,yes,yes,45,cash,quarterly,3,1,1,0,1.0,highly promo sensitive,0.9347826086956522,129,5934,5934,high,3,0.3333333333333333,0.5666666666666667,0.6666666666666667,0.8,0.3249999999999999,0.1664824419692203,0.3336610115519722,0.1602941176470588,0.0110496758009495,0.8000000000000002,Growth,2,At-Risk Promo Customers,43
48,55,male,jewelry,accessories,54,montana,m,charcoal,winter,4.5,yes,free shipping,yes,yes,36,cash,weekly,7,1,1,1,1.0,highly promo sensitive,1.4594594594594594,378,13986,13986,premium,4,1.0,1.0,0.0,0.4,0.75,0.3946943287135447,0.6334371326967995,0.5264705882352941,0.0217338520393022,0.4000000000000001,Loyal,1,High-Value Promo Dependent,54
49,42,male,shirt,clothing,55,nevada,m,orange,summer,2.7,yes,store pickup,yes,yes,38,cash,monthly,4,1,1,0,1.0,highly promo sensitive,1.4102564102564104,220,8580,8580,high,3,0.5,0.625,0.5,0.75,0.38125,0.2414760649604625,0.4058401521479265,0.2941176470588235,0.0207319133252453,0.7500000000000001,Growth,1,High-Value Promo Dependent,55
50,68,male,hoodie,clothing,30,new jersey,s,indigo,spring,4.6,yes,next day air,yes,yes,34,debit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,0.8571428571428571,180,6300,6300,high,3,0.8333333333333334,0.9416666666666668,0.1666666666666666,0.45,0.69375,0.1768557095485077,0.4797916552047228,0.2352941176470588,0.0094686706784929,0.45,Loyal,1,High-Value Promo Dependent,30
51,49,male,blouse,clothing,28,maryland,m,red,spring,3.8,yes,store pickup,yes,yes,39,debit card,bi-weekly,6,1,1,0,1.0,highly promo sensitive,0.7,168,6720,6720,high,3,0.8333333333333334,0.7416666666666667,0.1666666666666666,0.65,0.49375,0.1887594592296573,0.4104285558284193,0.2176470588235294,0.0062687163106408,0.6500000000000001,Growth,1,High-Value Promo Dependent,28
52,59,male,skirt,clothing,59,vermont,xl,gray,winter,4.7,yes,2-day shipping,yes,yes,7,credit card,quarterly,3,1,1,1,1.0,highly promo sensitive,7.375,177,1416,1416,low,1,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.0384321061134257,0.3729610410612676,0.2308823529411764,0.1421940507087243,0.6000000000000002,Growth,2,At-Risk Promo Customers,59
53,42,male,t-shirt,clothing,20,alaska,m,green,summer,2.6,yes,free shipping,yes,yes,26,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,0.7407407407407407,140,3780,3780,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.1054332114616104,0.3921957416586225,0.1764705882352941,0.0070983341097136,0.6000000000000002,Growth,1,High-Value Promo Dependent,20
54,29,male,skirt,clothing,24,mississippi,s,peach,winter,3.9,yes,next day air,yes,yes,35,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,0.6666666666666666,168,6048,6048,high,3,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.169713459739818,0.4229291226736421,0.2176470588235294,0.0055899381113994,0.6000000000000002,Loyal,1,High-Value Promo Dependent,24
55,47,male,coat,outerwear,94,new mexico,m,brown,summer,4.2,yes,next day air,yes,yes,35,debit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,2.611111111111111,564,20304,20304,premium,4,0.8333333333333334,0.9416666666666668,0.1666666666666666,0.45,0.69375,0.5737607346314089,0.7316495904543264,0.8,0.0451853330671458,0.45,Loyal,1,High-Value Promo Dependent,94
56,40,male,jacket,outerwear,28,south carolina,m,lavender,winter,3.0,yes,2-day shipping,yes,yes,49,credit card,annually,1,1,1,0,1.0,highly promo sensitive,0.56,28,1400,1400,low,1,0.0,0.4499999999999999,1.0,0.8999999999999999,0.2125,0.0379786299350962,0.2206454616537542,0.0117647058823529,0.0034178478738271,0.9,Growth,2,At-Risk Promo Customers,28
57,41,male,backpack,accessories,73,mississippi,xl,brown,summer,4.7,yes,store pickup,yes,yes,46,credit card,weekly,7,1,1,1,1.0,highly promo sensitive,1.553191489361702,511,24017,24017,premium,4,1.0,1.0,0.0,0.4,0.75,0.6789955502650001,0.7720602072986323,0.7220588235294118,0.0236425497933506,0.4000000000000001,Loyal,1,High-Value Promo Dependent,73
58,21,male,coat,outerwear,64,west virginia,m,white,summer,4.4,yes,store pickup,yes,yes,17,debit card,fortnightly,5,1,1,1,1.0,highly promo sensitive,3.555555555555556,320,5760,5760,high,3,0.6666666666666666,0.8833333333333334,0.3333333333333333,0.5,0.6375,0.1615508885298869,0.4964447717697741,0.4411764705882353,0.0644173820456511,0.5000000000000001,Loyal,1,High-Value Promo Dependent,64
59,69,male,hoodie,clothing,54,missouri,m,charcoal,summer,4.2,yes,free shipping,yes,yes,29,venmo,monthly,4,1,1,1,1.0,highly promo sensitive,1.8,216,6480,6480,high,3,0.5,0.8250000000000001,0.5,0.55,0.58125,0.1819573165547147,0.4538321196176795,0.288235294117647,0.0286683968856059,0.5500000000000002,Loyal,1,High-Value Promo Dependent,54
60,63,male,belt,accessories,79,louisiana,l,yellow,spring,4.6,yes,standard,yes,yes,4,debit card,weekly,7,0,1,1,1.0,highly promo sensitive,15.8,553,2765,2765,medium,2,1.0,0.8499999999999999,0.0,0.5,0.6124999999999999,0.0766658163988323,0.5285977416219442,0.7838235294117647,0.3137552405669794,0.5000000000000001,Loyal,1,High-Value Promo Dependent,79
61,50,male,sweater,clothing,37,idaho,l,brown,summer,4.0,yes,express,yes,yes,17,cash,weekly,7,1,1,1,1.0,highly promo sensitive,2.055555555555556,259,4662,4662,high,3,1.0,1.0,0.0,0.4,0.75,0.1304310857920244,0.5059449976742674,0.3514705882352941,0.0338723630797897,0.4000000000000001,Loyal,1,High-Value Promo Dependent,37
62,55,male,scarf,accessories,68,texas,m,orange,winter,4.7,yes,store pickup,yes,yes,21,credit card,every 3 months,2,1,1,1,1.0,highly promo sensitive,3.090909090909091,136,2992,2992,medium,2,0.1666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.0830995096788821,0.357369142113099,0.1705882352941176,0.0549556253289533,0.6500000000000001,Growth,2,At-Risk Promo Customers,68
63,30,male,sneakers,footwear,21,mississippi,s,magenta,spring,3.8,yes,free shipping,yes,yes,31,credit card,fortnightly,5,1,1,0,1.0,highly promo sensitive,0.65625,105,3360,3360,medium,2,0.6666666666666666,0.6833333333333333,0.3333333333333333,0.7,0.4375,0.0935294617804608,0.339401978289828,0.125,0.0053778199241365,0.7000000000000001,Growth,1,High-Value Promo Dependent,21
64,33,male,sunglasses,accessories,79,arizona,l,lavender,winter,2.7,yes,2-day shipping,yes,yes,43,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,1.7954545454545454,553,24332,24332,premium,4,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.6879233625258623,0.7175378827664046,0.7838235294117647,0.0285758362220729,0.6000000000000002,Loyal,1,High-Value Promo Dependent,79
65,65,male,boots,footwear,83,alabama,s,green,fall,4.8,yes,standard,yes,yes,18,debit card,fortnightly,5,1,1,1,1.0,highly promo sensitive,4.368421052631579,415,7885,7885,high,3,0.6666666666666666,0.8833333333333334,0.3333333333333333,0.5,0.6375,0.2217781934642745,0.5454655049673981,0.5808823529411765,0.0809700433955721,0.5000000000000001,Loyal,1,High-Value Promo Dependent,83
66,65,male,backpack,accessories,36,new jersey,m,purple,spring,4.8,yes,2-day shipping,yes,yes,44,venmo,every 3 months,2,1,1,1,1.0,highly promo sensitive,0.8,72,3240,3240,medium,2,0.1666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.0901283904429895,0.3410057209687718,0.0764705882352941,0.0083050509083649,0.6500000000000001,Growth,2,At-Risk Promo Customers,36
67,31,male,blouse,clothing,94,pennsylvania,s,magenta,winter,4.7,yes,2-day shipping,yes,yes,3,venmo,every 3 months,2,0,1,1,1.0,highly promo sensitive,23.5,188,752,752,low,1,0.1666666666666666,0.5583333333333333,0.8333333333333334,0.75,0.33125,0.0196128447127511,0.3054429270220119,0.2470588235294117,0.4705530045917349,0.7500000000000001,Growth,2,At-Risk Promo Customers,94
68,45,male,coat,outerwear,33,connecticut,l,gray,winter,4.4,yes,store pickup,yes,yes,49,debit card,monthly,4,1,1,1,1.0,highly promo sensitive,0.66,132,6600,6600,high,3,0.5,0.8250000000000001,0.5,0.55,0.58125,0.185358387892186,0.4303166122328533,0.1647058823529411,0.0054541824715512,0.5500000000000002,Loyal,1,High-Value Promo Dependent,33
