Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,frequency_score,repeat_buyer_flag,subscription_flag,satisfaction_flag,promo_dependency_score,discount_sensitivity_segment,avg_spend_per_visit,spending_velocity_score,customer_lifetime_value_score,customer_lifetime_value_proxy,value_tier,value_tier_numeric,normalized_frequency_score,customer_engagement_score,low_frequency_risk,retention_risk_score,loyalty_score_v1,normalized_clv,loyalty_score_v2,normalized_spending_velocity,normalized_avg_spend,normalized_retention_risk
60,63,male,belt,accessories,79,louisiana,l,yellow,spring,4.6,yes,standard,yes,yes,4,debit card,weekly,7,0,1,1,1.0,highly promo sensitive,15.8,553,2765,2765,medium,2,1.0,0.8499999999999999,0.0,0.5,0.6124999999999999,0.0766658163988323,0.5285977416219442,0.7838235294117647,0.31375524056697945,0.5000000000000001
61,50,male,sweater,clothing,37,idaho,l,brown,summer,4.0,yes,express,yes,yes,17,cash,weekly,7,1,1,1,1.0,highly promo sensitive,2.0555555555555554,259,4662,4662,high,3,1.0,0.9999999999999999,0.0,0.4,0.75,0.13043108579202448,0.5059449976742674,0.3514705882352941,0.033872363079789705,0.4000000000000001
62,55,male,scarf,accessories,68,texas,m,orange,winter,4.7,yes,store pickup,yes,yes,21,credit card,every 3 months,2,1,1,1,1.0,highly promo sensitive,3.090909090909091,136,2992,2992,medium,2,0.16666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.08309950967888217,0.357369142113099,0.17058823529411765,0.05495562532895334,0.6500000000000001
63,30,male,sneakers,footwear,21,mississippi,s,magenta,spring,3.8,yes,free shipping,yes,yes,31,credit card,fortnightly,5,1,1,0,1.0,highly promo sensitive,0.65625,105,3360,3360,medium,2,0.6666666666666666,0.6833333333333333,0.33333333333333337,0.7,0.4375,0.09352946178046084,0.339401978289828,0.125,0.0053778199241365544,0.7000000000000001
64,33,male,sunglasses,accessories,79,arizona,l,lavender,winter,2.7,yes,2-day shipping,yes,yes,43,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,1.7954545454545454,553,24332,24332,premium,4,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.6879233625258623,0.7175378827664046,0.7838235294117647,0.028575836222072996,0.6000000000000002
65,65,male,boots,footwear,83,alabama,s,green,fall,4.8,yes,standard,yes,yes,18,debit card,fortnightly,5,1,1,1,1.0,highly promo sensitive,4.368421052631579,415,7885,7885,high,3,0.6666666666666666,0.8833333333333334,0.33333333333333337,0.5,0.6375,0.22177819346427458,0.5454655049673981,0.5808823529411765,0.08097004339557218,0.5000000000000001
66,65,male,backpack,accessories,36,new jersey,m,purple,spring,4.8,yes,2-day shipping,yes,yes,44,venmo,every 3 months,2,1,1,1,1.0,highly promo sensitive,0.8,72,3240,3240,medium,2,0.16666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.09012839044298954,0.3410057209687718,0.07647058823529412,0.008305050908364944,0.6500000000000001
67,31,male,blouse,clothing,94,pennsylvania,s,magenta,winter,4.7,yes,2-day shipping,yes,yes,3,venmo,every 3 months,2,0,1,1,1.0,highly promo sensitive,23.5,188,752,752,low,1,0.16666666666666666,0.5583333333333333,0.8333333333333334,0.75,0.33125,0.019612844712751182,0.3054429270220119,0.24705882352941178,0.4705530045917349,0.7500000000000001
68,45,male,coat,outerwear,33,connecticut,l,gray,winter,4.4,yes,store pickup,yes,yes,49,debit card,monthly,4,1,1,1,1.0,highly promo sensitive,0.66,132,6600,6600,high,3,0.5,0.8250000000000001,0.5,0.55,0.58125,0.18535838789218603,0.43031661223285333,0.16470588235294117,0.005454182471551209,0.5500000000000002
69,57,male,handbag,accessories,46,utah,l,silver,summer,3.9,yes,next day air,yes,yes,21,cash,every 3 months,2,1,1,0,1.0,highly promo sensitive,2.090909090909091,92,2024,2024,medium,2,0.16666666666666666,0.5083333333333333,0.8333333333333334,0.8500000000000001,0.26875,0.055664200889947,0.2648256075663834,0.10588235294117647,0.03459227935171237,0.8500000000000002
70,48,male,belt,accessories,70,tennessee,s,cyan,summer,4.4,yes,express,yes,yes,5,cash,weekly,7,0,1,1,1.0,highly promo sensitive,11.666666666666666,490,2940,2940,medium,2,1.0,0.8499999999999999,0.0,0.5,0.6124999999999999,0.08162571209931128,0.511804293352406,0.6911764705882353,0.22958674386105007,0.5000000000000001
71,22,male,belt,accessories,29,alabama,m,magenta,fall,4.2,yes,express,yes,yes,32,debit card,every 3 months,2,1,1,1,1.0,highly promo sensitive,0.8787878787878788,58,1914,1914,medium,2,0.16666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.052546552163931635,0.323734430512278,0.05588235294117647,0.009909435742935443,0.6500000000000001
72,36,male,dress,clothing,48,virginia,l,gold,summer,2.9,yes,express,yes,yes,34,bank transfer,annually,1,1,1,0,1.0,highly promo sensitive,1.3714285714285714,48,1680,1680,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.045914463055862595,0.22930535618719897,0.041176470588235294,0.019941248609645496,0.9
73,18,male,dress,clothing,26,georgia,m,olive,winter,2.9,yes,store pickup,yes,yes,21,bank transfer,every 3 months,2,1,1,0,1.0,highly promo sensitive,1.1818181818181819,52,1144,1144,low,1,0.16666666666666666,0.5083333333333333,0.8333333333333334,0.8500000000000001,0.26875,0.030723011081824108,0.24433148525118745,0.047058823529411764,0.01608014664512968,0.8500000000000002
74,48,male,pants,clothing,85,hawaii,m,teal,spring,2.7,yes,free shipping,yes,yes,43,bank transfer,bi-weekly,6,1,1,0,1.0,highly promo sensitive,1.9318181818181819,510,22440,22440,premium,4,0.8333333333333334,0.7416666666666667,0.16666666666666663,0.65,0.49375,0.6342998044383981,0.6669559119455961,0.7205882352941176,0.0313526561280604,0.6500000000000001
75,49,male,gloves,accessories,58,indiana,l,violet,spring,4.5,yes,express,yes,yes,3,cash,monthly,4,0,1,1,1.0,highly promo sensitive,14.5,232,928,928,low,1,0.5,0.675,0.5,0.65,0.44375,0.024601082674375763,0.35846332011250215,0.31176470588235294,0.28728289079656616,0.6500000000000001
76,64,male,scarf,accessories,85,utah,m,blue,summer,2.7,yes,free shipping,yes,yes,21,credit card,annually,1,1,1,0,1.0,highly promo sensitive,3.8636363636363638,85,1870,1870,medium,2,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.051299492673525494,0.24207246949455744,0.09558823529411764,0.07069093812954863,0.9
